id,user_id,setting_id,task_id,answer
71,2016211001,1,15,
72,2016211001,1,16,
73,2016211001,1,7,s
74,2016211001,1,2,
75,2016211001,1,17,
76,2016211001,1,10,
77,2016211001,1,9,jsjsiw
78,2016211001,1,9,
79,2016211001,1,5,
80,2016211001,1,20,
81,2016211001,1,11,
82,2016211001,1,1,
83,2016211001,1,19,
84,2016211001,1,4,
85,2016211001,1,18,
86,2016211001,1,14,
87,2016211001,1,6,
88,2016211001,1,8,
89,2016211001,1,13,
91,2016211001,1,3,
92,2016211001,2,16,
93,2016211001,2,18,
94,2016211001,2,5,
95,2016211001,2,2,
96,2016211001,2,14,
97,2016211001,2,9,
98,2016211001,2,11,
99,2016211001,2,8,
100,2016211001,2,7,
101,2016211001,2,1,
102,2016211001,2,3,
103,2016211001,2,17,
104,2016211001,2,13,
105,2016211001,2,10,
106,2016211001,2,20,
107,2016211001,2,19,
108,2016211001,2,6,
109,2016211001,2,15,
110,2016211001,2,4,
112,2016211001,3,5,
113,2016211001,3,18,
114,2016211001,3,6,
115,2016211001,3,19,
116,2016211001,3,13,
117,2016211001,3,17,
118,2016211001,3,2,
119,2016211001,3,20,
120,2016211001,3,8,
121,2016211001,3,1,
122,2016211001,3,14,
123,2016211001,3,15,
124,2016211001,3,16,
125,2016211001,3,4,
126,2016211001,3,16,
127,2016211001,3,16,
128,2016211001,3,7,
129,2016211001,3,9,
130,2016211001,3,3,
131,2016211001,3,10,
133,2016211001,3,11,
134,2016211001,4,10,
135,2016211001,4,3,
136,2016211001,4,7,
137,2016211001,4,16,
139,2016211001,4,1,
140,2016211001,4,2,
141,2016211001,4,6,
142,2016211001,4,11,
143,2016211001,4,18,
144,2016211001,4,4,
145,2016211001,4,17,
146,2016211001,4,15,
147,2016211001,4,5,
148,2016211001,4,8,
149,2016211001,4,19,
150,2016211001,4,14,
151,2016211001,4,13,
152,2016211001,4,13,
153,2016211001,1,14,
154,2016211001,2,14,
155,2016211001,2,16,
156,2016211001,3,16,
157,2016211001,3,14,
158,2016211001,4,13,
159,2016211001,4,14,
160,2016211001,4,16,
161,2016211001,4,20,
162,2016211001,4,9,
163,2016211001,1,16,
164,2016211001,2,3,
165,2016211001,3,3,
166,2016211001,4,3,
167,2016211001,1,3,
168,2016011373,1,19,淡季95  旺季110
169,2016011373,1,8,we just wanna make the world dance. forget about the price tag.
170,2016011373,1,7,执子之手，与子偕老
171,2016011373,1,20,找到了
172,2016011373,1,1,朔州  忻州  广州  杭州
173,2016011373,1,10,祛风  燥湿  消肿  止痛  对中枢神经有兴奋作用
174,2016011373,1,5,6月23日德国某地发生枪击案  媒体炒作有25-50人受伤  官员则声明无人受伤  且凶手已被击毙
175,2016011373,1,12,是   情什么之花
176,2016011373,1,11,是的
177,2016011373,1,4,广州塔  沙面  上下九步行街  长隆水上乐园
178,2016011373,1,9,蓝莓中大量花青素确实可以缓解眼睛疲劳
179,2016011373,1,3,变频空调能根据外界温度自动变换频率  而定频以恒定频率，只能人工控制压缩机开关来变温  因此变频会更节能  调温速度快  
180,2016011373,1,2,本人携带身份证  户口簿到公安局出入境管理部门办理港澳通行证
181,2016011373,1,13,美籍华裔女歌手   代表作最初的梦想  有一对双胞胎儿子  受伤之后已复出
182,2016011373,1,14,澳大利亚男演员   演义事业硕果累累  自称患上皮肤癌  因为是良性且得到了及时的治疗而康复
183,2016011373,1,18,瘸腿
184,2016011373,1,16,下关一中位于云南省大理州，是省重点中学
185,2016011373,1,15,找到了
186,2016011373,1,6,文科  南阳一中刘凯翔660  理科  南阳一中刘云鹏 709
187,2016011373,1,16,云南省大理市   是省重点中学  
188,2016011373,1,17,灰色微卷长发
189,2016011286,2,12,找到了
190,2016011286,2,16,分为初高中部，位于云南省大理州大理市下关镇，办学成绩好，历史上十易校名
191,2016011286,2,11,找到了
192,2016011286,2,14,来自澳大利亚的男演员，主演过X战警中的金刚狼，被称为狼叔，还主演了铁甲钢拳，悲惨世界
193,2016011286,2,4,长隆欢乐世界，广州塔，陈家祠，沙面
194,2016011286,2,1,徐州，郑州，苏州，扬州，杭州，常州，荆州，广州，惠州
195,2016011286,2,6,理科刘云鹏709文科刘凯翔660
196,2016011286,2,10,祛风湿，活血排脓，生肌止痛，治头疼牙痛，美容增白
197,2016011286,2,13,美籍华裔女歌手演员，参演过被偷走的那五年并献唱主题曲，代表歌曲有最初的梦想，黑白配，丈夫是陈建州
198,2016011286,2,18,一指瘸子，二是蹩脚，寓指尴尬
199,2016011286,2,2,港澳通行证
200,2016011286,2,3,压缩机原理不同，价格不同。变频空调自动加热制冷可维持恒温，比较节能，温控精度高。定频空调只能运行到指定温度
201,2016011286,2,17,就是一种染发的颜色介于黑白之间，五十度灰
202,2016011286,2,7,知我者，谓我心忧，不知我者，谓我何求
203,2016011286,2,15,找到了！www.csu.edu.cn
204,2016011286,2,8,找到了
205,2016011286,2,5,枪手被击毙，不是极端分子，应该无人受伤，媒体说法不一。
206,2016011286,2,9,我觉得有道理。蓝莓中的一种花青素可以活化视网膜，强化视力防止眼疲劳
207,2016011286,2,20,找到了
208,2016011286,2,7,知我者谓我心忧，不知我者，谓我何求桃之夭夭，灼灼其华
209,2016011286,2,19,旺季120淡季 100网上预订会更便宜
210,2013012195,1,3,
211,2016011336,3,11,找到儿歌视频，但部分无法打开
212,2016011336,3,16,下关一中位于云南省大理州，是一所完全中学，师资力量雄厚，成绩优异，升学率较高
213,2016011336,3,17,婆婆灰是一种暗灰色的染发颜色
214,2016011336,3,5,枪击案发生在2016年6月23日，地点是菲恩海姆一家电影院，枪手被击毙，人质全部安全逃脱，但受警方催泪瓦斯伤害达50余人，无中国人受伤
215,2016011336,3,7,北风其凉，雨雪其雾，惠而好我，携手同行。君子作歌，唯以告哀。
216,2016011336,3,8,很快找到了歌词，解决了问题
217,2016011336,3,19,门市价成人120元，1.2米以下儿童，70岁以上老人免票，1.2至1.4米儿童，60岁至69岁老人优惠，全程旅游网购成人票110元
218,2016011336,3,3,两者压缩机工作原理不同，变频空调主机无级变速，不停机运转，温度恒定，较舒适，节能，但价格高于定频空调，且辐射大。定频空调压缩机转速不变，频繁开关，忽冷忽热，费电，但价格便宜，辐射小。
219,2016011336,3,15,快速找到
220,2016011336,3,6,文科状元刘凯翔，660理科状元刘云鹏，709
221,2016011336,3,1,锦州，兰州，朔州，忻州，徐州
222,2016011336,3,20,找到
223,2016011336,3,13,美籍华人，著名女歌手，台湾人，出生于美国，大二休学从事歌唱行业，代表作《最初的梦想》
224,2016011336,3,10,祛风湿，活血排脓，生肌止痛，用于头痛，牙痛，鼻渊，还可美容
225,2016011336,3,14,澳大利亚人，出生于1968年10月12日，著名影星，因主演X战警被《人物》杂志评选为全球最性感男士和世界最美五十人
226,2016011336,3,4,白云山风景区珠江夜景莲花山风景区
